Explantation provides a ccomprehensive understanding of gender equality or violence and discrimination related to the scenario,,,,,,,,,,,
"Explantion challenges the social or gender norm in the scenario (Example: Boys will not become girls if they play with dolls, men should help in looking after children , equal responsibility in household chores)",,,,,,,,,,,
"Explanation uses human rights language (Example: right to education, right to work, right to wear what one wants) related to the scenario",,,,,,,,,,,
Participant provides an acition oriented explanation to stop violence and and explains the 'why' for that action (Example of why: because it is wrong to hit women / wrong to tease girls),,,,,,,,,,,
,,,,,,,,,,,
Participants,Programme/ Cyclce ,Violence and tolerance of violence,,,,Manhood and Masculinity,,,Gender roles and responsibility,,
,,"Ramesh & Pranita
Mahesh & Priyanka
Suresh and Vinita","Samir & his mother
Pratemesh & his mother
Tushar & his mother ","Poonam
Vrushali
Gauri","Ganesh
Rohit
Shohib","Chetu
Akash
Sushil","Nisha
Nirmala
Priya","Mahesh & Nisha
Rujuta and Amir
Vishal & Madhuri","Shruti & Navnath
Neha & Akshay
Roshni and Arun","Priyanka & Ramesh
Mahindra & Kamal 
Sarika and Vinod","Nina
Manisha
Seema"
,,"1
(affair: It is alright for a man to beat his wife if she is unfaithful)","2
A woman should tolerate violence to keep her family together.
","3
Girls who wear western and revealing clothes invite harassment
","4
One should take action when boys tease girls","5
Boys should not play with dolls","6
Girls should not go out at night or the safest way to protect girls is by them staying at home","7
A man’s role is to provide for his family, while a womans's job is to look after her family
","8

(Both girls and boys have equal right to education and both are responsible for household chores)","9
 A woman’s role is taking care of her home and family
","10
Taking care of children is a girls responsibility
"
1,T2,,,,,,,,,,
2,T2,,,"""I disagree because this is not poonam fault , everyone have right to wear the clothess by own choice""",,,,,,,
3,T2,,,,,,,,,,
4,T2,,,,,,,,,,
5,T2,,,,,,,,,,
6,T2,,,,,,,,,,
7,T2,,,,,,,"I disagree with Mahesh, because what is understood here is that a man is the pillar of the house or he should be given respect. However, men do not only have the right to work. Nisha should understand this. ",I disagree with Shruti and Navnath's mother because boys and girls should be looked at the same way. Just like boys are admitted to schools in the same way girls should also be admitted to schools. Girls and boys are equal,"I disagree with Ramesh, because what is understood here is that a man is the pillar of the house or he should be given respect. However, men do not only have the right to work. Priyanka should understand this. ",I disagree with Nina's father because boys and girls should be given the same work. The boys should look after his younger brother and Nina should go for her picnic
8,T2,,,It is not Poonam's fault because everyone has a right to wear clothes of their choice and she should remain firm on her decision,,,,,I disagree with Shruti and navnath's mother beause both of them have the same rights and both should should be given the same righht to study (education),,
9,T2,,,It is not Poonam's fault because girls have a right to wear clothes of their choice. This should be explained to boys ,,,I disagree with Nisha's family because girls have a right to move (roam) freely at night. They too should be given freedom. It is the boys fault. ,,I disagree with Shruti and Navnath's mother because girls should have the same rights as boys. Girls and boys are equal,I disagree with Ramesh because women and men are equal and she should start her own business.,
10,T2,,,It is not Poonam's fault because she has a right to dress fashionably ,,,,,,,
11,T2,,,,,,,"I disagree with Mahesh, because  Nisha should work. Men are not the pillars of the house or it is not true that men should be given respect. Just like men work, women too should go to work. An older man should explain this to Mahesh.","I disagree with the mother because just like boys have the right to study, girls too have a right to study. They say that if a girl is educated there is progress. Shruti and Navanth should be given same work in this there will be equality between the boys and girl","I disagree with Ramesh, because Priyanka should work. Men are not the pillars of the house or it is not true that men should be given respect. Just like men work, women too should go to work. An older man should explain this to Ramesh. It is not a woman's job just to give birth to children ",
12,T2,,,,,,,"I disagree with Mahesh, because Nisha should explain to her husband that women have a right to work",,,
13,T2,,,It is not Poonam's fault because she has a right to wear clothes that she likes. ,Ganesh should not remain quietm because if he reamined quiet then the girls would be harassed (violated) more.,,,I disagree with Mahesh. Nisha should explain to Mahesh that women have a right to work,"I disagree with Shruthi and Navnath's mother because girls have a right to play, study and rest",I disagree with Ramesh because Priyanka has a right to start her own business,
14,T2,,,,,,,"I disagree with Mahesh,. Nisha should continue to go to work because both of them have an equal right to work and both should look after the home",I disagree with Shruthi and Navnath's mother because both of them have equal right to study. Instead o paying attention to the house both should pay attention to their studies,I disagree with Ramesh because Priyanka has a right to work.,
15,T2,,,,,,,,I disagree with Shruti and Navnath's mother because girls have a right to education and and boys also should be given work,,
16,T2,,,,,,,"I disagree with Mahesh, because Nisha should work because it is her right",,,
17,T2,,,,,,I disagree with Nisha's parents because she has every right to go out for the event,,,,
18,T2,,,It is not Poonam's fault because she likes fashion and she has the right to wear clothes of her choice,,,,,,,
19,T2,,,,,,,,,,
20,T2,,,,,,,,,,
21,T2,,,I disagree because men and women both have right to wear the cloths by own choise,,,,,,,
22,T2,,,,,,,,,,
23,T2,,,,,,,,,,
24,T2,,,I disagree because it is not poonam fault . she have right to wear any type of cloths. This need to explain the boys,,,,,,,
25,T2,,,,,,,,,,
26,T2,,,,,,,,,,
27,T2,,,,,,,,,,
28,T2,,,,,,,,,,
29,T2,,,,,,,,,,
30,T2,,,,,,,,,,
31,T2,,,,,,,,,,
32,T2,,,,,,,I disagree with Mahesh. She should work because she too has a right to work.,,,
33,T2,,,,,,,,I disagree with mother because shruti and navnath both have same rigths. Navanath should do the work like shruti,,
34,T2,,,,,,,,I disagree with mother because girl have right to education and boy should do the houshold chores,,
35,T2,,,,,,,,,,
36,T2,,,,,,,,,,
37,T2,,,,,,,,,,
38,T2,,,,,,,,,,
39,T2,,,,,,,,,,
40,T2,,,,Ganesh should not remain quiet and he should talk with friends and do something to stop the harrasment of girl,,,,I disagree with mother and she should tell the son to do the household chores and girls also have right to education. ,,I disagree with father and nina has right to go outside and her brother can take care the small child 
41,T2,,,,,,,,,,
42,T2,,,This is not poonam fault because she has right wear any cloths and the boys thinking need to be change ,,,,,I disagree with mother because boys should do the household chores and girls has right to education ,,
43,T2,,,,,,,,,,
44,T2,,,,,,,,,,
45,T2,,,,,,,,,,
46,T2,,,,,,,,,,
47,T2,,,,,,,,,,
48,T2,,,,,,,,,,
49,T2,,,,,,,,,,
50,T2,,,,,,,,,,
51,T2,,,,,,,,,,
52,T2,,,It is not Poonam's fault. The boys on the street are worrying Poonam. It is not Poonam's fault. She has the freedom to wear clothes of her choices,,,,,,,
53,T2,,,It is not Poonam's fault. What a girl should wear and what she should not wear we should not decide that. She should wear what she likes. We should change the attitudes of the boys (Mansikta),I agree with Ganesh. Where a man makes a mistake it is important to put one's finger there. If we are silent then that is injustice,,I disagree that this is the only way to protect her.  Keeping a girl house bound to protect her is wrong. In the evening the environment that happens needs to change. This is important,,I disagree with the mother.  Letting a girl do only household chores and looking at thinking of them as less is wrong. Girls have a right to get education just like boys. ,I disagree with Ramesh. Priyanka should explain to ramesh that a woman's position is not only to bear children and fulfills one's hunger.,I disagree with Nina's father. Giving boys more opportunities and giving a girl (kami lakhne) giving her less/ or looking down on her is wrong. 
