Explantion is not related to gender equality/ violence and discrimination  . ,,,,,,,,,,,
Explanation does not acknowledge the social/gender norm in the scenario,,,,,,,,,,,
"Explanation proposes a general solution or action (Example: They should get a divorce, he should explain to his father, he should explain to his friends, inform the police)",,,,,,,,,,,
"Explanation proposes a general reaction or response talks about giving permission (For example: They should let her go for the picnic, he should explain to his friends, she should ask/give him/her permission to work",,,,,,,,,,,
"Disagrees with gender inequitable position, gives no explanation. ",,,,,,,,,,,
Participants,Programme/ Cyclce ,Violence and tolerance of violence,,,,Manhood and Masculinity,,,Gender roles and responsibility,,
,,"Ramesh & Pranita
Mahesh & Priyanka
Suresh and Vinita","Samir & his mother
Pratemesh & his mother
Tushar & his mother ","Poonam
Vrushali
Gauri","Ganesh
Rohit
Shohib","Chetu
Akash
Sushil","Nisha
Nirmala
Priya","Mahesh & Nisha
Rujuta and Amir
Vishal & Madhuri","Shruti & Navnath
Neha & Akshay
Roshni and Arun","Priyanka & Ramesh
Mahindra & Kamal 
Sarika and Vinod","Nina
Manisha
Seema"
,,"1
(affair: It is alright for a man to beat his wife if she is unfaithful)","2
A woman should tolerate violence to keep her family together.
","3
Girls who wear western and revealing clothes invite harassment
","4
One should take action when boys tease girls","5
Boys should not play with dolls","6
Girls should not go out at night or the safest way to protect girls is by them staying at home","7
A man’s role is to provide for his family, while a womans's job is to look after her family
","8

(Both girls and boys have equal right to education and both are responsible for household chores)","9
 A woman’s role is taking care of her home and family
","10
Taking care of children is a girls responsibility
"
1,T2,I agree with Ramesh because She had an affair outside,"I agree with samir, but samir mother loves his father and she wants to continue their marriage",,,,"I disagree with nisha's mother and brother , she have not right to go outside. ",,,,
2,T2,Yes pranita was wrong,,,,,,,,,
3,T2,"I agree with Ramesh, because she did not tell ramesh about her affair.","I disagree with samir, but samir mother loves  his father",,"I agree with ganesh, he did right thing.",,,,,,
4,T2,"I agree with ramesh, she had an affair outside",I agree with samir but samir mother love his father and she want to continue it,I agree because the fashion is not important for them ,,,,,,,
5,T2,"I agree with Ramesh, she should have told Ramesh about the affair ","I disagree with samir, but samir mother love his father",,,,,,"I agree with mother , he needs to study",I agree with Ramesh,
6,T2,"I agree with ramesh, she should tell her husband about the affair ",,"I agree, she should not to wear these type of clothes",,,"I agree with nishas mother and brother, because if she go outside then boys will tease her so the family members affraid about it",,I agree with mother and it is good thing,,
7,T2,"Yes Pranita deseves to be hit, because once you are married one should not keep relationships with horrible men. Also Pranita should stay at home",,,,,,,,,
8,T2,,,,,,,,,,
9,T2,,,,,,,,,,
10,T2,"Yes, Pranita deserves to be hit becauese she had an affair and insulted her husband",I disagree with Samir because his mother is ready to except her husband behaviour. Samir's mother thinks that this is her love,,,,,,"Yes, I agree with their mother because if he pays attention to his studies then he will become whatever he wants when he grows up. This is what his mother thinks",,
11,T2,,,,,,,,,,
12,T2,"Yes, Pranita deserves to be hit because she should not have had an affair","I disagree with Samir, because they should stay with her husband and teach him to talk properly",,,I agree with Chetu's parents because he should play outside with boys and learn to behave well (properly),,,,,
13,T2,,I disagree with Samir because Samir's mother loves his father. One should explain to his father ,,,,,,,,
14,T2,"Pranita deserves to be hit because despite Pranita being married she had an affair with the neighbour. This is wrong, She should have thought about her husband. ",I disagree with Samir because Samir's mother and father love each other and they should always remain with one another. ,,,,,,,,
15,T2,Pranita derserves to be hit becasue despite being married she had an affair with another man. This is wrong,"I disagree with Samir because despite the violence happening on her, she accepts it and forgets about it. She feels nothing",,,,,,,,
16,T2,Pranita deserves to be hit because Pranita should have not acted in this way,I disagree with Samir because she should stay with his father,,,,,,I agree with Shruti and Navnath's mother because girls should do housework and boys should work and study,,
17,T2,Pranita deserves to be hit because her husband would have felt humiliated ,"I disagree with Tushar, he should explain to his father ",,,,,,,,
18,T2,Pranita deserves to be hit because she should not have had an affair,,,,I agree with Chetu's parents because boys should not play with dolls,I agree with Nisha's family because during the night it is not right that girls go out. ,,,"I agree with Rames, however if Ramesh had got a better salary then Priyanka would not ave said these things",
19,T2,,I disagree with samir because they can not leave the father alone ,,,,I agree with nisha's family because Nisha could be harrassed ,,,,
20,T2,I disagree with ramesh because ramesh needs to understand. He needs to talk to his neighbours and ask them how they would feel if anyone had an affair with their wife,I disagree with samir because he should talk with father and tell him to not get angry. It is a bad thing.,,,,I agree with Nisha's family because if she go outside then she could be  harrassed ,,,,
21,T2,,"I disagree with samir, because samir's mother want their family to stay together ",,,,,,,I disagree with ramesh but priyanka should take care the childrens ,
22,T2,,,,,,,,,,
23,T2,,"I disagree, samir's father needs o leave his job so that he does not angry and also they should not go to the village","I agree, this is the poonam fault and she should wear the long dress ",,I disagree with chetu's parents but he should not play more ,,I disagree with mahesh but nisha should not make her husband jealous,They need to hospitalize the mother and take care of her,I disagree with ramesh but he can take the money from the parents,
24,T2,"I agree with ramesh, because she is married and she can't do this. She needs to tell  ramesh first",,,,I agree with parents if chetu play with doll then he will not became a real men in future so he need to stop that play ,If her brother feels insecure then he should go with her for the programme ,,,,
25,T2,"I agree with ramesh, because she is married so she should not have had the affair","I disagree with samir, Samir's parents should stay together and mother need to bear that",I agree because poonam should not wear these type of clothes,,"I agree with parents, if chetu play with doll then he will not grow ",,,,I agree because priyanaka should listen to her husband,
26,T2,,,,,,,,,,
27,T2,,,,,,,"I agree, he should listen to mahesh",,,
28,T2,,,,,,,,,"I agree with ramesh , she should listen  to her husband for some days ",
29,T2,,,,,,,,,,
30,T2,I disagree that Pranita deserves to be hit. First he should look with his own eyes (see if the affair is true) and then he should hit her,"I disagree with Samir, because Samir's is not right or wrong. If Samir mother leaves her husband she will not get any money and will not get the happinees and love of her husband (Navrache sukh) ",,,I agree with Chetu's parents because if plays with dolls at a young age then he will behave like a girl when he grows up,,,I agree with Shruti anan Navnath's mother because Navnath is in the 9th and 10th standard. Hence his mother tell Shruti to do the household chores and wants Navnath to pay attention to his studies,,
31,T2,,,,Ganesh should stay quiet because it is not his fault,,,,,,
32,T2,,I disagree with Samir because fights happen. It is not right to leave. He should give solutions,,,,,,,,
33,T2,I agree with Ramesh because after the marriage women should stay only with her husband not with other person,"I disagree with samir ,because women loves family lot and she can't survive if any one person separted from the family",,,,,,,,
34,T2,I agree with Ramesh because after the marriage women should stay only with her husband not with other person,"I disagree with samir ,because women loves family lot and she can't survive if any one person separted from the family",This is the poonams fault because if  girls do not dress properly then boys will tease them ,,,"I disagree with nisha,s family but there is some elder person should go  with her.",,,,
35,T2,I agree with Ramesh because after the marriage women should stay only with her husband,I disagree with samir,,,I agree with chetu's parents because they are taking care of chetu's future,,,,,
36,T2,I disagree with Ramesh. He should confirm if she is really having an affiar.,"I disagree with samir, when the father was angree they should share about it ",,,,,,,,
37,T2,I agree with ramesh and this is the pranita's fault and may be she talking with neighbours. ,,,,I agree with chetu's parents because they are taking care of chetu's future,,,,,
