Explantion is not related to gender equality/ violence and discrimination  . ,,,,,,,,,,,
Explanation does not acknowledge the social/gender norm in the scenario,,,,,,,,,,,
"Explanation proposes a general solution or action (Example: They should get a divorce, he should explain to his father, he should explain to his friends, inform the police)",,,,,,,,,,,
"Explanation proposes a general reaction or response talks about giving permission (For example: They should let her go for the picnic, he should explain to his friends, she should ask/give him/her permission to work",,,,,,,,,,,
"Disagrees with gender inequitable position, gives no explanation. ",,,,,,,,,,,
Participants,Programme/ Cyclce ,Violence and tolerance of violence,,,,Manhood and Masculinity,,,Gender roles and responsibility,,
,,"Ramesh & Pranita
Mahesh & Priyanka
Suresh and Vinita","Samir & his mother
Pratemesh & his mother
Tushar & his mother ","Poonam
Vrushali
Gauri","Ganesh
Rohit
Shohib","Chetu
Akash
Sushil","Nisha
Nirmala
Priya","Mahesh & Nisha
Rujuta and Amir
Vishal & Madhuri","Shruti & Navnath
Neha & Akshay
Roshni and Arun","Priyanka & Ramesh
Mahindra & Kamal 
Sarika and Vinod","Nina
Manisha
Seema"
,,"1
(affair: It is alright for a man to beat his wife if she is unfaithful)","2
A woman should tolerate violence to keep her family together.
","3
Girls who wear western and revealing clothes invite harassment
","4
One should take action when boys tease girls","5
Boys should not play with dolls","6
Girls should not go out at night or the safest way to protect girls is by them staying at home","7
A man’s role is to provide for his family, while a womans's job is to look after her family
","8

(Both girls and boys have equal right to education and both are responsible for household chores)","9
 A woman’s role is taking care of her home and family
","10
Taking care of children is a girls responsibility
"
1,T2,,,,Ganesh should not remain quiet ,I disagree with chetu's parents because in future chetu will be a responsible person ,,"I disagree with Mahesh,  because he has become arrogant about the money",,,
2,T2,,"I disagree with Samir , because Samir father should understood his mother",,,,,,,,
3,T2,,,,,"I disagree with chetu's parents , he like to play ",,Nisha should do the work because her husband has become arrogant ,,,
4,T2,,,,"Ganesh should not remain quiet, becuase he should talk with his friend or loose the friends",I disagree because he is small,,,,,I disagree with nina's father 
5,T2,,,I disagree because she have dreams,"Ganesh should not remain quiet, he should talk with friends",I disagree because he is small,I disagree because she wants to learn,"I disagree with mahesh, nisha should go to work because mahesh salary is not sufficient ",,,I disagree with nina's father 
6,T2,,,,Ganesh should not remain quiet because if ganesh listen to friend then they will do this again and again,I disagree because he is small,,"I agree with mahesh, but mahesh salary is not sufficient to manage the home",,I disagree with Ramesh,I disagree with nina father because she want to go outside 
7,T2,,"I agree with Samir, because her husband shouts at her and hits her. Samir tells his mother that we should go to the village","It is not Poonam's fault, because girls should be given permission to wear jeans, skirts and dresses",,,,,,,
8,T2,Pranita does not deserve to be hit because everyone has a right to do what they want. And he should first listen to her ,,,,,I disagree that the only way to protect Nisha is for her to stay at home. Everyone should go to her home and explain to her family. ,,,,I disagree with Nina's father because for one day if his son does not play cricket then nothing is going to happen (not a big loss)
9,T2,"Pranita does not deserve to be hit because if Pranita is having an affair with her neighbour, then Ramesh shoul not hit her. He should explain to her and if she does not listen then he should get a divorce","I disagree with Samir because it is wrong that Samir's father hits his mother. However, Samir should explain to his father and they should not just leabe and go to the village  ",,Ganesh should remain quiet because they are his friends and he should explain to them ,Yes I agree with Chetu's parents because Chetu wants to play with his sisters and boys are girls are the same (equal),,,,,I disagree with Nina's father because girls feel that even 'I would like to go out' Girls and Boys are equal
10,T2,,,,,,,I disagree with Mahesh. Nisha earns more money than Mahesh and this money will help to look after the house (pay the house loan). And id she does not mind then she should go to work.,,I disagree with Ramesh. Priyanka should start her own business and look after the house,
11,T2,"Pranita does not deserve to be hit. If there is an affair happening then he should talk to an elder person and clear the misunderstanding. Or he should talk to a social worker, in this way Pranita will not do this again",I disagree with Samir because Samir's mother should call an elder person from her family. This person will help to clear the misunderstanding between the two of them. This person will also explain to the both of them in this way nobody will have any difficulty. If Samir's father doe not listen then the help of the police should be taken,,,,I disagree with Nisha's family because what is the issue if girls go out for one night for an event. and if something happens to her then she should keep the number of the police or an institution. ,,,,I disagree with Nina's father because in a year there is only one day where she goes to have fun with her friends and talk to her friends. If one day her brother does not go to play cricket and looks after the younger brother nothing will happen
12,T2,,,,,,,,,,
13,T2,Pranita does not deserve to be hit because Ramesh should quietly set aside this question.  ,,,,,,,,,"I disagree with Nina's father because to complete her wish on going for her picnic, her brother was told to look after their younger brother"
14,T2,,,,"Ganesh should not remain quiet, he should explain to his friends that they are our sisters. ",I disagree with Chetu's parents because Chetu should do what he likes. But slowly as he gorws up he should stop playing with dolls. ,I disagree with Nisha's parents because one solution is that her brother can go along with her ,,,,I disagree with Nina's father because her brother can also look after the younger brother. He plays cricket everyday but Nina's picnic is only once in a year. 
15,T2,,,,Ganesh should not reamain quiet. He should not remain friends with these boys and make new friends. He should tell the parents of the boys,"i disagree with Chetu's parents because it is ok that he plays now that he is small. However, once he grows older then one should be concerned not now",i diagree wih Nisha's parents. Her nrother should go with her to drop and pick her up.. She should be sent with her friends. These are other methods,I disagree with Mahesh. Nisha should explain to Mahesh that if I work then it will help us in our future.,,I disagree with Ramesh. She should explain to him what is in her mind and then she she fulfill her wish.,I disagree with Nina's father. He should not sent his son and send his daughter for the picinic
16,T2,,,,Ganesh should not reamin quiet he should explain to his friends,,I disagree with Nisha's parents. She should be sent for the programme.,,,,
17,T2,,,"It is not Poonam's fault. She likes to dress fashionably. She likes wearing a shirt, skirt and dresses and because of that everyone shouts at her. This is not right",Ganesh should not reamin quiet he should explain to his friends,"I disagree with Chetu's parents because, he is a six year old boy. When he grows up he will understand",,,"I disagree with Shruti and Navnath's mother because in the house just one person does the work. Once he finishes his study, he should also be told to do household work","I disagree with Ramesh, because everyone should do the work",I disagree with Nina's father because there is nothing wrong if he does not play cricket for one day
18,T2,,,,Ganesh should not reamin quiet he should explain to his friends,,,,,,I disagree with Nina'a parents because Nina should be sent for the picnic
19,T2,I disagree with Ramesh,,,Ganesh should not remain quiet and expalin to the friends ,I disagree with parents because to play with doll is not only girls work  ,,,,I disagree with ramesha and priyanaka should talk with husband ,I disagree with father and they should allow Nina to go for picnic 
20,T2,,I disagree with samir because he should talk with father and tell him to not get angry. It is a bad thing.,,Ganesh should not reamin quiet and talk with friends ,I disagree with parents because to play with doll is not only girls work  ,,I disagree with mahesh and Nisha should do the job ,,I disagree with ramesh and priyanaka should talk with husband ,I disagree with father and they should allow Nina to go for picnic 
21,T2,I disagree with Ramesh because he should trust  pranita ,,,"Ganesh should not remain quiet because that girl is like our sister , if someone harrasses our sister then we angry ",I disagree with chetu's parents because he like to play so it is not his fault and he is small,,"I disagree with mahesh, nisha should explain to mahesh and also go to the police ",,,I disagree with nina's father because nina should go to the picnic and it is only for one day and her brother should take care the small baby 
