"Explanation is related to equality  (Example: Both should do housework, both should work) and prevention of violence and discrimination but not complete or coherent ",,,,,,,,,,,
"Through the explantion the participant acknowledges that a social norm exists but does not challenge the social/gender norms (Example: Boys can look after the child, boys should be given household work)",,,,,,,,,,,
Explanation uses the rights language (Example: right to life) but it is not related the scenario ,,,,,,,,,,,
The participant provides an a action oriented explanation for stopping violence but does not answer the 'why' for stopping violence (Example of why: because it is wrong to hit women / wrong to tease girls),,,,,,,,,,,
,,,,,,,,,,,
Participants,Programme/ Cyclce ,Violence and tolerance of violence,,,,Manhood and Masculinity,,,Gender roles and responsibility,,
,,"Ramesh & Pranita
Mahesh & Priyanka
Suresh and Vinita","Samir & his mother
Pratemesh & his mother
Tushar & his mother ","Poonam
Vrushali
Gauri","Ganesh
Rohit
Shohib","Chetu
Akash
Sushil, Vishal","Nisha
Nirmala
Priya","Mahesh & Nisha
Rujuta and Amir
Vishal & Madhuri","Shruti & Navnath
Neha & Akshay
Roshni and Arun","Priyanka & Ramesh
Mahindra & Kamal 
Sarika and Vinod","Nina
Manisha
Seema"
,,"1
(affair: It is alright for a man to beat his wife if she is unfaithful)","2
A woman should tolerate violence to keep her family together.
","3
Girls who wear western and revealing clothes invite harassment
","4
One should take action when boys tease girls","5
Boys should not play with dolls","6
Girls should not go out at night or the safest way to protect girls is by them staying at home","7
A man’s role is to provide for his family, while a womans's job is to look after her family
","8

(Both girls and boys have equal right to education and both are responsible for household chores)","9
 A woman’s role is taking care of her home and family
","10
Taking care of children is a girls responsibility
"
1,T2,,,I disagree because she has a right to wear short dress,,,,,I disagree with mother because everyone should get equal rights ,"I disagree with Ramesh, she have right to go outside",I disagree with nina's father because she have rights to go for picnic
2,T2,,,,I agree with ganesh because give respect to every girl, I disagree with chetu parents because don't discriminate between boys and girls,"""I disagree with nisha mother and brother because she has the right to go outside""","I disagree with mahesh, she should talk with mahesh and tell them if we both work and earn money then our economic condition will be better  ",I disagree with Mother because both should divide the household chores,"""I disagree with Ramesh because women also have rigth to work outside"" ",I disagree with Nina's father because her elder brother also can take care the small baby
3,T2,,,I disagree because she has a right to wear any type of cloths.,,,I disagree with mother and brother because girl should go outside,,I disagree with mother because everyone should get equal rights ,"I disagree, because everyone should do the work ","I disagree with nina's father , she have right to freedom. "
4,T2,,,I disagree because she has a right to wear short dress , ,,I disagree because she have right to freedom. ,"I disagree with mahesh, because Nisha has a right to work","I disagree, because their behaviour not good and she have right ","I disagree, because she has right to freedom ",
5,T2,,,,,,,,,,
6,T2,,,,,,,,,,
7,T2,,,,Ganesh should not remain quiet. He should take his friends to a corner and explain to them or he should tell an older person about the incident,I disagree with Chetu's parents because Chetu has a right to play with his sisters and with his doll. He is angry about this situation ,I disagree that the only way to protect Nisha is for her to stay at home because she has a right to roam at night. For protection she should carry a knife close to her and then move out.,,,,
8,T2,,I disagree with Samir because he should explain to his father. If his father does not listen then Samir should make a police complaint.,,"Ganesh should not remain quiet, he should explain to his friends ",I disagree with Chetu's parents because everyone has a right to play and roam,,I disagree with Mahesh because Nisha should explain to him that both of us shoul work and both of us should earn money.,,I disagree with Ramesh because Priyanka should explain to Ramesh that if both of them work it will be good,
9,T2,,,,,,,I disagree with Mahesh because Nisha too will be able to look after the house when she earns. Both should work. Men and women are equal.,,,
10,T2,,, ,"Ganesh should not stay quiet, he should make a complaint to the headmasters . Or he should explain to his friends",I disagree with Chetu's parents because he has a right to play,I disagree with Nisha's family. She can go alone as she can look after herself,I disagree with Mahesh. Nisha earns more money than Mahesh and this money will help to look after the house (pay the house loan). And if she does not mind then she should go to work.,,,I disagree with Nisha's father because her brother can look after his little brother
11,T2,,,It is not Poonam's fault because just like boys are fashionable in the same way girls can be fashionable and this does not affect anyone. Boys wear shirts and jeans then what is the problem if gilrs wear jeans and shirts. Poonam should make a complaint at the police station and in this way they will not do this again,"Ganesh should not remain quiet. He should explain to his friends or he should tell an older person what has happened and that person should talk to the friends. The friends should be asked, 'you act in this way with girls. Do you not have a mother or sister at your home?'","I disagree with Chetu's parents because  the girls are looking after the dolll and acting towards it, Chetu looks at them and likes what they are doing. He too would like to act and play and take care of the doll in the same way his sisters are doing. What is the issue if boys copy the behaviour and actions of the girls",,,,,
12,T2,,,"It is not Poonam's fault, because girls have a right to live according to their own will.",Ganesh should not remain quiet. He should raise his voice againt it and talk to his friends about it.,,"I disagree that this is the only way to protect Nisha, because girls have the right to live/behave like boys do.",,"I disagree with Shruti and Navnath's parents because, their mother  should not discriminate between girls and boys. Along with girls, boys should also be give work (household chores)",I disagree with Ramesh. Priyanka should explain to Ramesh that if both of us work then we will be able to look after our family well. ,I disagree with Nina's father.  A difference between boys and girls Boys should be given work just like girls 
13,T2,,,,,I disagree with Chettu's parents because he has the right to live according to his own mind,I disagree with Nisha's family because they have to change the way their mind thinks (Mansik Vichar),,,,
14,T2,,,It is not Poonam's fault because she has a right to live the way she wants,,,,,,,
15,T2,,,It is not Poonam's fault because just like men wear clothes of their choice in the same way women have a right to wear clothes of their choice,,,,,,,
16,T2,,,It is not Poonam's fault because women and girls have a right to wear clothes of their choice,,I disagree with Chetu's parents. One should also let boys play with boys. ,,,,"I disagree with Ramesh, because both of them should work",I disagree with Nina's father because one should also send girls outside
17,T2,,,,,,,"I disagree with Mahesh, It is Nisha's right",,,
18,T2,,I agree with Samir because he feels that his mother should not be hit,,,,,I disagree with Mahesh. Nisha should explain to her husband that both of them should work ,I disagree with the mother because Navanth should also be told do do work,,
19,T2,,,This is not poonam fault because she has right to wear the cloths ,,,,I disagree with Mahesh because Nisha should do the Job ,I disagree with mother because Mother should tell the shruti and navnath to do the household chores ,,
20,T2,,,This is not poonam fault because she has right to wear the cloths ,,,,,I disagree with Mother because Girls also have right to eduaction,,
21,T2,,,,,,I disagree with nisha's mother and brother becuase she also have right to go outside like other boys in morning or also in evening ,,I disagree with mother because both should do the household chore and also go to the school,I disagree with ramesh and priyanaka should explain her husband ,I disagree with father and they should allow her to go for picnic 
22,T2,,,,,,,I disagree with mahesh because both should do the work ,I disagree because shruti have right to education and mother need to divide the work and give it to both ,,I disagree with nina's father because she have right to go outside 
23,T2,,,,I agree but boys should not tease the girls and ganesh need to complain the police ,,,,,,I disagree with nina's father and they should take the one day leave and take care the small baby
24,T2,,,,,,,"I disagree with mahesh, nisha has rigth to work but if both do the work then their challenges will solve.",I disagree because girls also have rigth to education and mother should tell them stay in home then both can take care the small sister ,I disagree because women have right to do the work by own choise. only take care the childrens and house is not women works so she should get the permission. ,
25,T2,,,,,,,"I disagree, nisha should go for the work because it is not only men work . women also can work outside",I disagree because both should do the household chores . only shruti can's do the all work. ,,
26,T2,,,I disagree because she have right to wear the clothes as per her choice,,,I disagree they should allow her to go for programme and she have rigth ,,I disagree because both should have same rights and do not discriminate ,I disagree she should talk with ramesh and she have right to work ,I disagree because father discriminate between both boy and girl  and they should not do this 
27,T2,,,I disagree because she have right to wear the clothes as per her choice,,,I disagree because she also have right to freedom like the boys,,I disagree with mother because she discriminate between both ,I disagree because she have right to go outside and also go for work so she should do the work ,I disagree because father discriminate between both boy and girl  and they should not do this 
28,T2,,,I disagree because she also have right to wear the clothes,,,I disagree because she also have right to freedom like her brother ,,I disagree because mother should not discriminate between girl and boys and both them equal,,They discriminate between both and she also have right to go
29,T2,,,I disagree because if she like fashion then she should do that and she also have right,,,I disagree with mother and brother because she also have right,,I disagree with mother because she have right to education and tell the brother to do the work,,
30,T2,,,,,,,,,I disagree with Ramesh because she should explain to him that he should work and she should work,
31,T2,I disagree with Ramesh because his wife is not a thing (vastu). She too has a right to decide who she wants to live for.,,It is not Poonam's fault because she has a right to spend her life the way she chooses.,,,I disagree with Nisha's parents because it is not the girl's fault. Boys look at them badly (viyet najarane bagtat),,Both are equal. Both should  be given work,I disagree with Ramesh because she should explain to him that he should work and she should work,
32,T2,,,"It is not Poonam's fault, she should wear what she likes and the people who tease her shoud be told",,,,,,,
33,T2,,,I disagree because this is not poonam fault and womens have rigth to live like the men ,,I disagree with chetu's parents because he have right to play with dolls,,"I disagree with Mahesh, Nisha should explain her husband and should do the job ",,I disagree with Ramesh and priyanka should expalin her husband if they both work together then there will be more money came in house. ,I disagree with nina's father because nina's brother can take care the small children and they should send the nina for picnic
34,T2,,,,,,,"I disagree with mahesh, nisha should explain her husband I am also human being so I can work ","I disagree with mother, shruti also have right to education. ",I disagree with Ramesh and priyanka should expalin her husband if they both work together then there will be more money came in house. ,
35,T2,,,"This is not poonam fault , she have right to wear any type of cloths",,,she have right to go outside,Both should do the work,Both should take care the house and to study well,Both should do the work outside and take care of the house. ,
36,T2,,,This is not poonam fault because womens have right to live like men. ,,,,"I disagree with mahesh, she have right to work ",,I disagree with ramesh and they should divide the houehold responsibility ,
37,T2,,,,,,she have right to go outside,I disagree with mahesh both should do the work ,Both should take care the house and to study well,Both should do the work outside and take care of the house. ,
38,T2,,,,,,,,,I disagree with ramesh because women also can work outside not only the men so she should to the work ,
39,T2,,,This is not poonam fault she has freedom and she can wear clothes as per her choice,,,I disagree with nisha's family because this is not girls fauld but boys starring girls badly ,"I disagree with mahesh, nisha should explain him if we work then our future will be bright ",I disagree with mother because she should give work both,I disagree with ramesh because both should do the same work and priyanka should explain her husband. both should earn money ,
40,T2,,,This is not poonam fault and there should be no norms related to the what type of dress she have to wear and about the life,,,,,,"I disagree with ramesh and priyanka should do the work and whatever she like, she should do that work but also take care the house ",
41,T2,,,This is not poonam fault and she has right to wear any cloths ,,,,,I disagree with mother and she has right to education,I disagree with ramesh and she should work and do not afread ,I disagree with father and her brother can take care the small children and she should go for picnic 
42,T2,, I disagree with samir but she should get the right and his father can not bit her and don't angree on his mother ,,Ganesh should not remain quiet and tell to the friends do not tease the girl ,I disagree with parents because when he grow then he will became any thing whatever he want becuase he has right ,,I disagree with mahesh because she should go for job then the house condition will improve ,,,I disagree with father because they should allow her to go for picnic and her brother can take care the small children 
43,T2,,,This is not the poonam fault because she have choise but boys should change their attitude ,,,,,,,
44,T2,,,This is not the poonam fault she have choise and she can wear any cloths,,,,,,,I disagree with father and nina's brother should take care the small children. 
45,T2,,,This is not poonam fault because she has right and she has her own choise ,,,I agree with family member but she has right and she can go for programme,I agree with mahesh but she has right to work outside,I agree with mother but Navanath should help his sister ,I agree with ramesh but she has right to work ourtside,
