0,1,2
tushar be right hi father should understand that wife be not a thing to throw away of beat thi should not be do,woman should toler violenc to keep her famili togeth,2
no it be import to live as you like,girl who wear western and reveal cloth invit harass,2
no not clear,girl should not go out at night or the safest way to protect girl be by them stay at home,1
no gauri have freedom to choos her attir,girl who wear western and reveal cloth invit harass,2
,woman should toler violenc to keep her famili togeth,0
i agre with ramesh becaus after the marriag women should stay onli with her husband not with other person,affair it be alright for a man to beat hi wife if she be unfaith,0
ye becaus she shouldnt be harrass,girl should not go out at night or the safest way to protect girl be by them stay at home,1
no he be a small boy and therefor should be allow to play,boy should not play with doll,1
no everi woman have right she should work as per her choic,man role be to provid for hi famili while a woman job be to look after her famili,2
no becaus she should explain that everyon should work,man role be to provid for hi famili while a woman job be to look after her famili,1
no becaus she want to go for the programm she can be protect by other mean,girl should not go out at night or the safest way to protect girl be by them stay at home,1
no becaus tushar should understand hi father and all of them live togeth,woman should toler violenc to keep her famili togeth,0
no men should help women while they be do household thing,both girl and boy have equal right to educ and both be respons for household chore,1
i disagre with ramesh,affair it be alright for a man to beat hi wife if she be unfaith,1
ye becaus now a day boy troubl and teas girl when they go out her father do a nice job by tell her to stay at home,take care of children be a girl respons,0
,both girl and boy have equal right to educ and both be respons for household chore,0
i disagre with mahesh and nisha like to do the work,man role be to provid for hi famili while a woman job be to look after her famili,1
no becaus if mena dn women an both work then whi shouldnt madhuri work,man role be to provid for hi famili while a woman job be to look after her famili,2
i disagre with the parent small children do not understand anyth so parent need to understand,boy should not play with doll,1
i disagre with her mother even neha want to studi she should ask both of them work should be send to school,both girl and boy have equal right to educ and both be respons for household chore,3
i disagre with mahesh becaus what be understand here be that a man be the pillar of the hous or he should be give respect howev men do not onli have the right to work nisha should understand thi,man role be to provid for hi famili while a woman job be to look after her famili,3
no becaus even guy should do hous work,both girl and boy have equal right to educ and both be respons for household chore,2
no husband be husband after all and hi mother love her husband so she be not agre with her son i e with samir,woman should toler violenc to keep her famili togeth,0
no vishal salari be less than madhuri but with vishal lesser salari they cant run their famili madhuri should lure him,man role be to provid for hi famili while a woman job be to look after her famili,1
it the man respons to provid for the hous,man role be to provid for hi famili while a woman job be to look after her famili,0
no school trip be rare and her brother can play creat on other day,take care of children be a girl respons,1
i agre with hi parent becaus it be a girl gameno thi be not the way to protect her becaus if it happen she should complain to the polic,boy should not play with doll,1
